ID,Group,Categories,ID_NEW
6,Book,5,1.0
10,Book,3,2.0
20,Book,3,3.0
28,Book,2,4.0
29,Book,5,5.0
52,Book,5,6.0
53,Book,7,7.0
55,Book,2,8.0
114,Book,2,9.0
157,Book,4,10.0
159,Book,4,11.0
196,Book,0,12.0
201,Book,2,13.0
231,Music,2,14.0
421,Book,1,15.0
449,Book,0,16.0
452,Book,4,17.0
480,Music,3,18.0
484,Book,3,19.0
548,Book,3,20.0
550,Book,4,21.0
556,Book,2,22.0
616,Book,1,23.0
686,DVD,14,24.0
698,Book,3,25.0
753,Music,7,26.0
820,Book,0,27.0
878,Book,5,28.0
982,Book,3,29.0
1001,Music,0,30.0
1048,Book,1,31.0
1116,Book,1,32.0
1142,Book,6,33.0
1282,DVD,18,34.0
1338,Book,6,35.0
1358,Book,1,36.0
1398,Music,4,37.0
1403,Book,2,38.0
1413,Book,3,39.0
1434,Music,2,40.0
1461,Book,5,41.0
1462,Book,2,42.0
1483,Book,9,43.0
1544,Book,1,44.0
1558,Book,2,45.0
1590,Book,3,46.0
1614,Book,2,47.0
1726,Music,6,48.0
1739,Music,6,49.0
1761,Video,18,50.0
1766,Music,4,51.0
1792,Music,5,52.0
1810,Book,3,53.0
1969,Book,2,54.0
1975,Book,3,55.0
1986,Music,3,56.0
2052,Book,5,57.0
2103,Book,3,58.0
2133,Book,6,59.0
2200,Book,8,60.0
2228,Book,2,61.0
2319,Music,9,62.0
2395,DVD,3,63.0
2407,Book,2,64.0
2439,Video,19,65.0
2518,Music,2,66.0
2529,Book,3,67.0
2551,Book,2,68.0
2555,Book,6,69.0
2618,Book,6,70.0
2652,Book,2,71.0
2734,Book,1,72.0
2833,Music,2,73.0
2865,Music,6,74.0
2884,Book,1,75.0
2887,Book,2,76.0
3030,Book,2,77.0
3111,Video,20,78.0
3219,Book,2,79.0
3243,Book,0,80.0
3267,Book,4,81.0
3268,Book,3,82.0
3269,Book,1,83.0
3295,Book,2,84.0
3321,Book,2,85.0
3460,Book,3,86.0
3505,Music,7,87.0
3656,Book,1,88.0
3676,Book,1,89.0
3724,Book,4,90.0
3733,Music,4,91.0
3768,Book,2,92.0
3831,Book,9,93.0
3861,Book,3,94.0
3994,Music,7,95.0
4139,Music,3,96.0
4237,Music,3,97.0
4240,Video,18,98.0
4248,Book,1,99.0
4302,Music,2,100.0
4350,Book,2,101.0
4394,Book,4,102.0
4410,Book,3,103.0
4431,Book,4,104.0
4538,Music,2,105.0
4539,Music,5,106.0
4587,Book,2,107.0
4598,Book,4,108.0
4706,Book,3,109.0
4718,Book,7,110.0
4722,Music,4,111.0
4814,Book,7,112.0
4828,Video,9,113.0
4830,Music,7,114.0
4897,Music,6,115.0
4934,Book,2,116.0
5107,Book,2,117.0
5152,Book,6,118.0
5165,Book,2,119.0
5195,Music,25,120.0
5243,Book,2,121.0
5281,Book,5,122.0
5340,Music,9,123.0
5406,Video,19,124.0
5500,Book,5,125.0
5569,Music,1,126.0
5581,Video,5,127.0
5598,Book,4,128.0
5688,Book,7,129.0
5695,Book,2,130.0
5732,Music,1,131.0
5911,Music,3,132.0
6005,Book,2,133.0
6109,Book,2,134.0
6135,Book,3,135.0
6166,Book,3,136.0
6167,Book,3,137.0
6228,Book,4,138.0
6273,Book,5,139.0
6274,Book,2,140.0
6305,Video,2,141.0
6436,Book,1,142.0
6448,Music,4,143.0
6505,Book,7,144.0
6550,Book,1,145.0
6676,Book,2,146.0
6756,DVD,21,147.0
6882,Music,0,148.0
7091,Book,1,149.0
7163,Book,1,150.0
7206,Book,1,151.0
7233,Book,2,152.0
7242,Book,2,153.0
7266,Book,2,154.0
7355,Book,5,155.0
7458,Book,1,156.0
7538,Book,5,157.0
7673,Book,4,158.0
7759,Book,3,159.0
7823,Book,4,160.0
8001,Book,3,161.0
8002,Book,6,162.0
8056,Music,4,163.0
8110,Book,6,164.0
8194,Music,2,165.0
8217,Video,11,166.0
8221,Book,2,167.0
8242,Book,5,168.0
8343,Book,5,169.0
8352,Book,5,170.0
8355,Book,2,171.0
8379,Book,6,172.0
8439,Book,4,173.0
8451,Book,3,174.0
8464,Book,5,175.0
8517,Book,3,176.0
8566,Book,4,177.0
8643,Book,3,178.0
8824,Book,2,179.0
8875,DVD,7,180.0
8876,Book,3,181.0
8899,Book,4,182.0
