"","objectId","customerId","date","rating","votes","helpful"
"1",1,"A2JW67OY8U6HHK","2000-7-28",5,10,9
"2",1,"A2VE83MZF98ITY","2003-12-14",5,6,5
"3",2,"A11NCO6YTE4BTJ","2001-12-16",5,5,4
"4",2,"A9CQ3PLRNIR83","2002-1-7",4,5,5
"5",2,"A13SG9ACZ9O5IM","2002-1-24",5,8,8
"6",2,"A1BDAI6VEYMAZA","2002-1-28",5,4,4
"7",2,"A2P6KAWXJ16234","2002-2-6",4,16,16
"8",2,"AMACWC3M7PQFR","2002-2-14",4,5,5
"9",2,"A3GO7UV9XX14D8","2002-3-23",4,6,6
"10",2,"A1GIL64QK68WKL","2002-5-23",5,8,8
"11",2,"AEOBOF2ONQJWV","2003-2-25",5,8,5
"12",2,"A3IGHTES8ME05L","2003-11-25",5,5,5
"13",2,"A1CP26N8RHYVVO","2004-2-11",1,13,9
"14",3,"A3IDGASRQAW8B2","2003-7-10",5,2,2
"15",4,"A2591BUPXCS705","2004-8-19",4,1,1
"16",6,"AJYG6ZJUQPZ9M","2000-1-4",4,14,10
"17",6,"A2ESGJTTLJWIAK","2000-2-8",5,17,11
"18",6,"A2CHULHAO3A9BY","2000-4-28",5,23,16
"19",6,"A3BNWP7ATVP045","2001-10-9",5,7,6
"20",6,"AVOQ12GBXJ3F","2002-9-26",2,6,0
"21",6,"A2NJO6YE954DBH","2002-11-8",5,23,21
"22",6,"A393PYR83LT7R8","2002-12-4",1,8,8
"23",6,"AVY10FEFM6OBC","2003-4-21",4,7,1
"24",6,"A2OSPW11FVXTU6","2003-7-24",4,3,2
"25",6,"A32Z5HQGTG5V49","2003-10-10",4,7,4
"26",6,"A2WSI8HOWHFDOT","2003-10-21",5,27,25
"27",6,"A3BGC9MSXGM0WH","2003-10-26",4,13,10
"28",6,"A1IU7S4HCK1XK0","2003-12-30",5,4,4
"29",6,"A30JTDN020MAJB","2004-5-1",4,4,4
"30",7,"A2O3PW57IFNUHV","2000-5-22",5,10,10
"31",7,"A3FNRL9QYZOBDH","2002-8-19",4,0,0
"32",7,"A3SWAHVVHVPKWZ","2003-5-15",5,5,5
"33",8,"A2F1X6YFCJZ1FH","2000-10-31",5,10,9
"34",8,"A1OZQCZAK21S6M","2000-11-1",5,13,12
"35",8,"AL5D52NA8F67F","2000-11-19",5,16,13
"36",8,"AVFBIM1W41IXO","2001-4-16",1,0,0
"37",8,"A3I6SOXDIE0M8R","2001-5-10",5,6,6
"38",8,"A3559TE3F9RRNL","2001-7-1",5,5,5
"39",8,"ASPUU0H77LFXG","2001-8-25",5,3,3
"40",8,"A3L902U49A6X5K","2001-9-13",5,6,6
"41",8,"AL5OEDM8TPTKV","2001-10-25",5,10,10
"42",8,"A1R64WON03GTN4","2001-11-3",5,1,1
"43",8,"A2WKESDGF2YC8S","2001-12-24",5,8,8
"44",8,"A71P2O8OMF8GY","2001-12-31",5,7,5
"45",8,"AB8HLDYSDI5M7","2002-4-9",4,10,4
"46",8,"A37FDCXZLI0MAC","2002-9-23",2,12,5
"47",8,"AQE41QO3NEUMW","2003-9-3",5,3,2
"48",10,"A2RI73IFW2GWU1","2000-10-8",4,12,7
"49",10,"A1GE54WF2WUZ2X","2001-5-4",5,11,8
"50",10,"A36S399V1VC4DR","2001-8-27",4,5,3
"51",10,"A280GY5UVUS2QH","2002-1-26",3,12,7
"52",10,"A2YHZJIU4L4IOI","2004-4-7",4,10,2
"53",10,"A1MB83EO48TRSC","2004-4-27",4,5,3
"54",11,"A2A1TNBFJNRADP","2000-4-11",5,23,21
"55",12,"A2V9UBVMQFDV20","2004-4-21",5,8,8
"56",12,"A3NXQLHXJZO5FB","2004-6-6",5,4,4
"57",12,"A1RNV50D6DNE42","2004-7-5",1,7,3
"58",12,"A3FVNS48MY8L32","2004-7-8",5,13,13
"59",12,"A1WC6GEAVET9K8","2004-7-19",5,6,5
"60",12,"A1PH1HGK2HFQ9G","2004-8-22",5,5,4
"61",12,"A1DOK8OJ386KDS","2004-10-9",5,11,10
"62",12,"A1E4FW0F5R7TOY","2004-12-28",4,8,4
